Title,AlbumTitle,TrackArtist,AlbumArtist,Genre,Year,Duration,PlayCount,TrackNumber,Path
Dangerous,CrasH Talk,"Schoolboy Q, Kid Cudi",Schoolboy Q,Rap/Hip Hop,,0:0,0,10,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Schoolboy Q/CrasH Talk/1-10 Dangerous.mp3
Riot,Riot,XXXTentacion,XXXTentacion,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/XXXTentacion/Riot/1-01 Riot.mp3
Unlock it (Lock It) (feat. Kim Petras and Jay Park),Pop 2,Charli XCX,Charli XCX,Pop,,0:0,0,8,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Charli XCX/Pop 2/1-08 Unlock it (Lock It) (feat. Kim.mp3
Kiss and Make Up,Dua Lipa (Complete Edition),Dua Lipa,Dua Lipa,Pop,,0:0,0,20,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Dua Lipa/Dua Lipa (Complete Edition)/1-20 Kiss and Make Up.mp3
No Church in the Wild (featuring Frank Ocean),Watch The Throne,Jay-Z and Kanye West,Jay-Z & Kanye West,Rap/Hip Hop,,0:0,0,01,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Jay-Z & Kanye West/Watch The Throne/01 No Church in the Wild (featuring.mp3
LEGENDARY (feat. J. Cole),ALL-AMERIKKKAN BADA$$,Joey Bada$$,Unknown Artist,Rap/Hip Hop,,0:0,0,11,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Joey Bada$$/ALL-AMERIKKKAN BADA$$/11 LEGENDARY (feat. J. Cole).mp3
Unity,Endless,Frank Ocean,Frank Ocean,R&B,,0:0,0,4,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Frank Ocean/Endless/1-04 Unity.m4a
Many Men,SAVAGE MODE II,"21 Savage, Metro Boomin",21 Savage,Rap/Hip Hop,,0:0,0,7,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/21 Savage/SAVAGE MODE II/1-07 Many Men.mp3
XXX.,DAMN.,"Kendrick Lamar, U2",Kendrick Lamar,Rap/Hip Hop,,0:0,0,11,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kendrick Lamar/DAMN_/1-11 XXX..mp3
mememe,mememe,100 gecs,100 gecs,Alternative,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/100 gecs/mememe/1-01 mememe.mp3
Portland,More Life,"Drake, Quavo, Travi$ Scott",Drake,Rap/Hip Hop,,0:0,0,11,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Drake/More Life/1-11 Portland.mp3
90210 Resonance,90210 Resonance,Travis Scott,Travis Scott,Hip Hop/Rap,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Travis Scott/90210 Resonance/01 90210 Resonance.mp3
ORANGE SODA,ORANGE SODA,Baby Keem,Baby Keem,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Baby Keem/ORANGE SODA/1-01 ORANGE SODA.mp3
sweet sweet,Birds In The Trap Sing McKnight,Travis Scott,Travis Scott,Rap/Hip Hop,,0:0,0,7,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Travis Scott/Birds In The Trap Sing McKnight/1-07 sweet sweet.mp3
Tints (feat. Kendrick Lamar),Oxnard,Anderson .Paak,Unknown Artist,Rap/Hip Hop,,0:0,0,3,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Anderson .Paak/Oxnard/03 Tints (feat. Kendrick Lamar).mp3
Locked In,Hearts and Darts,Baby Keem,Baby Keem,Rap/Hip Hop,,0:0,0,2,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Baby Keem/Hearts and Darts/1-02 Locked In.mp3
Too Good,Views,Drake,Drake,Rap/Hip Hop,,0:0,0,16,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Drake/Views/16 Too Good.mp3
Under The Sun,Revenge Of The Dreamers III,Dreamville;DaBaby;J. Cole;Lute,Dreamville,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Dreamville/Revenge Of The Dreamers III/1-01 Under The Sun.mp3
Hazeus View,B4.Da.$$,Joey Bada$$,Joey Bada$$,Rap/Hip Hop,,0:0,0,6,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Joey Bada$$/B4.Da.$$/1-06 Hazeus View.mp3
enemy,how i'm feeling now,Charli XCX,Charli XCX,Pop,,0:0,0,6,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Charli XCX/how i'm feeling now/06 enemy.mp3
"Institutionalized (Feat. Bilal, Anna Wise & Snoop Dogg)",To Pimp A Butterfly,Kendrick Lamar,Kendrick Lamar,Rap/Hip Hop,,0:0,0,4,"/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kendrick Lamar/To Pimp A Butterfly/04 Institutionalized (Feat. Bilal, A.mp3"
Lens V2,Lens V2,"Frank Ocean, Travis Scott",Frank Ocean,(13),,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Frank Ocean/Lens V2/01 Lens V2.mp3
Black Friday,Black Friday - Single,Kendrick Lamar & J. Cole,Unknown Artist,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kendrick Lamar & J. Cole/Black Friday - Single/01 Black Friday.mp3
vent,The Melodic Blue,Baby Keem,Baby Keem,Rap/Hip Hop,,0:0,0,15,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Baby Keem/The Melodic Blue/15 vent.mp3
New Freezer,The World Is Yours,Rich The Kid,Rich The Kid,Rap/Hip Hop,,0:0,0,2,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Rich The Kid/The World Is Yours/1-02 New Freezer.mp3
The Way Life Goes (feat. Oh Wonder),Luv Is Rage 2 (Deluxe),"Lil Uzi Vert, Oh Wonder",Lil Uzi Vert,Rap/Hip Hop,,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Lil Uzi Vert/Luv Is Rage 2 (Deluxe)/1-05 The Way Life Goes (feat. Oh Won.mp3
Violent Crimes,ye,Kanye West,Kanye West,Rap/Hip Hop,,0:0,0,7,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kanye West/ye/1-07 Violent Crimes.mp3
Solitaires,High Off Life,"Future,Travis Scott",Future,Rap/Hip Hop,,0:0,0,4,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Future/High Off Life/1-04 Solitaires.mp3
"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",1000 gecs and The Tree of Clues,100 gecs,100 gecs,Alternative,,0:0,0,2,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/100 gecs/1000 gecs and The Tree of Clues/02 ringtone (Remix) [feat. Charli XC.mp3
Unlock It (feat. Playboi Carti),Unlock It (feat. Playboi Carti),Abra,Abra,Alternative,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Abra/Unlock It (feat. Playboi Carti)/1-01 Unlock It (feat. Playboi Carti).mp3
SIRENS | Z1RENZ (FEAT. J.I.D),TA13OO,Denzel Curry,Denzel Curry,Rap/Hip Hop,,0:0,0,4,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Denzel Curry/TA13OO/2-04 SIRENS _ Z1RENZ (FEAT. J.I.D).mp3
Headshots (4r Da Locals),Headshots (4r Da Locals),Isaiah Rashad,Isaiah Rashad,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Isaiah Rashad/Headshots (4r Da Locals)/01 Headshots (4r Da Locals).mp3
terms,TYRON,slowthai/Dominic Fike/Denzel Curry,slowthai,Rap/Hip Hop,,0:0,0,3,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/slowthai/TYRON/2-03 terms.mp3
Smokin Out The Window,An Evening With Silk Sonic,Bruno Mars,Bruno Mars,Pop,,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Bruno Mars/An Evening With Silk Sonic/1-05 Smokin Out The Window.mp3
THE SCOTTS,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS ,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/THE SCOTTS/THE SCOTTS/1-01 THE SCOTTS.mp3
COFFEE BEAN ,ASTROWORLD,Travis Scott,Travis Scott,Rap/Hip Hop,,0:0,0,17,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Travis Scott/ASTROWORLD/17 COFFEE BEAN.mp3
Good Ones,Good Ones,Charli XCX,Charli XCX,Pop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Charli XCX/Good Ones/1-01 Good Ones.mp3
4:44,4:44,JAY-Z,Jay-Z,Rap/Hip Hop,,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/JAY-Z/4_44/1-05 4_44.mp3
The Woo,Shoot For The Stars Aim For The Moon,"Pop Smoke, 50 Cent, Roddy Ricch",Pop Smoke,Rap/Hip Hop,,0:0,0,10,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Pop Smoke/Shoot For The Stars Aim For The Moon/1-10 The Woo.mp3
Posthumous Forgiveness,The Slow Rush,Tame Impala,Tame Impala,Alternative,,0:0,0,4,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Tame Impala/The Slow Rush/1-04 Posthumous Forgiveness.mp3
Paranoia,Shoot For The Stars Aim For The Moon (Deluxe),"Pop Smoke, Gunna, Young Thug",Pop Smoke,Rap/Hip Hop,,0:0,0,29,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Pop Smoke/Shoot For The Stars Aim For The Moon (De/1-29 Paranoia.mp3
Lies,CrasH Talk,"Schoolboy Q, Ty Dolla $ign, YG",Schoolboy Q,Rap/Hip Hop,,0:0,0,6,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Schoolboy Q/CrasH Talk/1-06 Lies.mp3
HiiiPower,Section.80,Kendrick Lamar,Unknown Artist,Rap/Hip Hop,,0:0,0,16,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kendrick Lamar/Section.80/16 HiiiPower.mp3
UP,Mirrorland,EARTHGANG,EARTHGANG,Rap/Hip Hop,,0:0,0,2,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/EARTHGANG/Mirrorland/1-02 UP.mp3
Dedication (feat. Kendrick Lamar),Victory Lap,Nipsey Hussle,Nipsey Hussle,Rap/Hip Hop,,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Nipsey Hussle/Victory Lap/05 Dedication (feat. Kendrick Lamar).mp3
Solid (feat. Drake),Slime Language 2,Young Stoner Life/Young Thug/Gunna/Drake,Young Stoner Life/Young Thug/Gunna,Rap/Hip Hop,,0:0,0,4,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Young Stoner Life_Young Thug_Gunna/Slime Language 2/04 Solid (feat. Drake).mp3
Payday,Payday,Bando.,Bando.,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Bando_/Payday/1-01 Payday.mp3
Instant Crush (feat. Julian Casablancas),Random Access Memories,Daft Punk/Julian Casablancas,Daft Punk,Pop,,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Daft Punk/Random Access Memories/05 Instant Crush (feat. Julian Casab.mp3
Sky,Whole Lotta Red,Playboi Carti,Playboi Carti,Rap/Hip Hop,,0:0,0,19,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Playboi Carti/Whole Lotta Red/19 Sky.mp3
Mood,Chasing Summer,"SiR, Zacari",SiR,R&B,,0:0,0,12,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/SiR/Chasing Summer/1-12 Mood.mp3
Soliloquy,Cilvia Demo,Isaiah Rashad,Isaiah Rashad,Rap/Hip Hop,,0:0,0,7,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Isaiah Rashad/Cilvia Demo/07 Soliloquy.mp3
Find a Topic (homies begged),The Sun's Tirade,Isaiah Rashad,Isaiah Rashad,Rap/Hip Hop,,0:0,0,17,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Isaiah Rashad/The Sun's Tirade/1-17 Find a Topic (homies begged).mp3
Nights,Blonde,Frank Ocean,Frank Ocean,Pop,,0:0,0,9,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Frank Ocean/Blonde/1-09 Nights.mp3
everybody dies,everybody dies - Single,J. Cole,Unknown Artist,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/J. Cole/everybody dies - Single/01 everybody dies.mp3
Battle of the Heroes,Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack),John Williams,John Williams,Films/Games,,0:0,0,3,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/John Williams/Star Wars_ Revenge of the Sith (Original/03 Battle of the Heroes.mp3
Got It On Me,Shoot For The Stars Aim For The Moon,Pop Smoke,Pop Smoke,Rap/Hip Hop,,0:0,0,17,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Pop Smoke/Shoot For The Stars Aim For The Moon/1-17 Got It On Me.mp3
Collard Greens,Oxymoron (Deluxe),"Schoolboy Q, Kendrick Lamar",Schoolboy Q,Rap/Hip Hop,,0:0,0,3,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Schoolboy Q/Oxymoron (Deluxe)/1-03 Collard Greens.mp3
